ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Brackets,Purchased Bike
11340,Married,Female,10000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,Old,Yes
11378,Single,Female,10000,1,High School,Manual,No,1,2-5 Miles,Europe,46,Middle Age,Yes
11381,Married,Female,20000,2,Partial College,Manual,Yes,1,2-5 Miles,Europe,47,Middle Age,Yes
11383,Married,Female,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,Middle Age,No
11386,Married,Female,30000,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,45,Middle Age,No
11415,Single,Male,90000,5,Partial College,Professional,No,2,Over 10 Miles,Europe,62,Old,No
11434,Married,Male,170000,5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,Middle Age,No
11451,Single,Male,70000,0,Bachelors,Professional,No,4,Over 10 Miles,Pacific,31,Middle Age,Yes
11453,Single,Male,80000,0,Bachelors,Professional,No,3,Over 10 Miles,Pacific,33,Middle Age,Yes
11489,Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,35,Middle Age,Yes
11538,Single,Female,60000,4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,Middle Age,Yes
11540,Single,Male,60000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,Middle Age,Yes
11555,Married,Female,40000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,80,Old,No
11576,Married,Male,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,41,Middle Age,Yes
11585,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41,Middle Age,No
11619,Single,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,33,Middle Age,No
11622,Married,Male,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,32,Middle Age,No
11641,Married,Male,50000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,36,Middle Age,No
11644,Single,Male,40000,2,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,36,Middle Age,No
11663,Married,Male,70000,4,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,36,Middle Age,Yes
11669,Single,Female,70000,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,38,Middle Age,No
11699,Single,Male,60000,0,Bachelors,Skilled Manual,No,2,0-1 Miles,North America,30,Adolescent,No
11734,Married,Male,60000,1,Partial College,Skilled Manual,No,1,0-1 Miles,North America,47,Middle Age,No
11738,Married,Male,60000,4,Bachelors,Professional,Yes,0,2-5 Miles,North America,46,Middle Age,No
11745,Married,Female,60000,1,Bachelors,Professional,Yes,1,0-1 Miles,North America,47,Middle Age,Yes
11783,Married,Female,60000,1,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,34,Middle Age,No
11788,Single,Female,70000,1,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,34,Middle Age,No
11801,Married,Male,60000,1,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36,Middle Age,No
11807,Married,Male,70000,3,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,34,Middle Age,No
11809,Married,Male,60000,2,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,38,Middle Age,Yes
11817,Single,Female,70000,4,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35,Middle Age,Yes
11823,Married,Female,70000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,39,Middle Age,No
11886,Married,Female,60000,3,Bachelors,Professional,Yes,1,0-1 Miles,North America,48,Middle Age,Yes
11890,Married,Female,70000,5,Graduate Degree,Professional,Yes,1,0-1 Miles,North America,47,Middle Age,No
11896,Married,Male,100000,1,Graduate Degree,Management,Yes,0,2-5 Miles,Pacific,36,Middle Age,Yes
11897,Single,Male,60000,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,37,Middle Age,Yes
11935,Single,Female,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,Adolescent,No
11941,Single,Male,60000,0,Partial College,Skilled Manual,Yes,0,5-10 Miles,North America,29,Adolescent,No
12029,Married,Male,30000,0,Partial High School,Clerical,No,2,0-1 Miles,North America,28,Adolescent,No
12033,Single,Female,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,27,Adolescent,Yes
12056,Married,Male,120000,2,Graduate Degree,Management,Yes,3,5-10 Miles,North America,64,Old,No
12100,Single,Male,60000,2,Bachelors,Management,Yes,0,Over 10 Miles,North America,57,Old,No
12121,Single,Male,60000,3,High School,Professional,Yes,2,Over 10 Miles,North America,53,Middle Age,Yes
12133,Married,Female,130000,3,Partial College,Professional,Yes,3,5-10 Miles,Europe,50,Middle Age,Yes
12153,Single,Female,70000,3,Partial College,Professional,Yes,1,5-10 Miles,North America,49,Middle Age,Yes
12192,Single,Female,60000,2,Partial High School,Skilled Manual,No,2,1-2 Miles,North America,51,Middle Age,No
12195,Single,Female,70000,3,Graduate Degree,Management,Yes,2,1-2 Miles,North America,52,Middle Age,No
12205,Single,Female,130000,2,Bachelors,Management,No,4,0-1 Miles,North America,67,Old,No
12207,Single,Male,80000,4,Bachelors,Management,Yes,0,5-10 Miles,North America,66,Old,Yes
12212,Married,Female,10000,0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
12231,Single,Female,10000,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,51,Middle Age,Yes
12234,Married,Male,10000,2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,Middle Age,No
12236,Married,Female,20000,1,Partial College,Manual,Yes,0,0-1 Miles,Europe,65,Old,No
12253,Single,Female,20000,0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,29,Adolescent,Yes
12273,Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Middle Age,No
12274,Single,Male,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,Middle Age,No
12284,Married,Female,30000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Middle Age,Yes
12291,Single,Male,90000,5,Partial College,Professional,No,2,2-5 Miles,Europe,62,Old,Yes
12332,Married,Male,90000,4,High School,Management,Yes,3,5-10 Miles,Europe,58,Old,Yes
12344,Single,Female,80000,0,Bachelors,Professional,No,3,Over 10 Miles,Pacific,31,Middle Age,No
12389,Single,Male,30000,0,High School,Manual,No,1,2-5 Miles,Europe,34,Middle Age,No
12452,Married,Male,60000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,Middle Age,Yes
12472,Married,Male,30000,1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,Middle Age,No
12496,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Middle Age,No
12497,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Middle Age,No
12503,Single,Female,30000,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,Adolescent,No
12507,Married,Male,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,Middle Age,No
12510,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,43,Middle Age,Yes
12558,Married,Female,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Old,No
12568,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,64,Old,No
12581,Single,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,28,Adolescent,Yes
12585,Married,Male,10000,1,High School,Manual,Yes,0,2-5 Miles,Pacific,27,Adolescent,Yes
12590,Single,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,Old,No
12591,Married,Female,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Middle Age,No
12610,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Middle Age,No
12629,Single,Male,20000,1,Partial College,Manual,No,0,0-1 Miles,Europe,37,Middle Age,No
12663,Married,Female,90000,5,Partial High School,Skilled Manual,Yes,2,Over 10 Miles,Europe,59,Old,No
12664,Married,Female,130000,5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,Old,No
12666,Single,Male,60000,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,31,Middle Age,No
12678,Single,Female,130000,4,High School,Management,Yes,4,0-1 Miles,Pacific,31,Middle Age,No
12697,Single,Female,90000,0,Bachelors,Professional,No,4,Over 10 Miles,Pacific,36,Middle Age,No
12705,Married,Male,150000,0,Bachelors,Management,Yes,4,0-1 Miles,Pacific,37,Middle Age,Yes
12716,Single,Male,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,Middle Age,No
12718,Single,Female,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,31,Middle Age,No
12728,Single,Male,30000,0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,Adolescent,No
12731,Single,Male,30000,0,High School,Manual,No,1,1-2 Miles,Europe,32,Middle Age,No
12744,Single,Female,40000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,33,Middle Age,No
12768,Married,Male,30000,1,High School,Clerical,Yes,1,2-5 Miles,North America,52,Middle Age,Yes
12774,Married,Female,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,51,Middle Age,Yes
12808,Married,Male,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Age,Yes
12821,Married,Male,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Middle Age,No
12833,Single,Female,20000,3,High School,Manual,Yes,1,0-1 Miles,Europe,42,Middle Age,Yes
12871,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,Adolescent,No
12882,Married,Male,50000,1,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,33,Middle Age,Yes
12922,Single,Female,60000,3,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,40,Middle Age,Yes
12957,Single,Female,70000,1,Bachelors,Professional,No,1,0-1 Miles,North America,44,Middle Age,No
12964,Married,Male,70000,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,44,Middle Age,No
12993,Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Middle Age,No
13066,Single,Male,30000,0,High School,Skilled Manual,No,2,1-2 Miles,North America,31,Middle Age,Yes
13073,Married,Female,60000,0,Partial College,Professional,Yes,2,5-10 Miles,North America,30,Adolescent,No
13082,Single,Male,130000,0,Graduate Degree,Management,Yes,0,2-5 Miles,Pacific,48,Middle Age,Yes
13089,Married,Female,120000,1,Bachelors,Management,Yes,2,0-1 Miles,Pacific,46,Middle Age,Yes
13122,Married,Female,80000,0,Bachelors,Professional,Yes,1,1-2 Miles,Pacific,41,Middle Age,Yes
13133,Single,Male,100000,5,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,47,Middle Age,Yes
13136,Married,Female,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,69,Old,No
13151,Single,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,27,Adolescent,No
13154,Married,Male,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,27,Adolescent,Yes
13176,Single,Male,130000,0,Graduate Degree,Management,No,2,0-1 Miles,North America,38,Middle Age,Yes
13216,Married,Female,60000,5,Bachelors,Management,Yes,3,Over 10 Miles,North America,59,Old,No
13233,Married,Male,60000,2,Partial College,Professional,Yes,1,Over 10 Miles,North America,57,Old,Yes
13283,Married,Male,80000,3,Partial College,Professional,No,2,0-1 Miles,North America,49,Middle Age,Yes
13287,Single,Male,110000,4,Bachelors,Management,Yes,4,5-10 Miles,North America,42,Middle Age,Yes
13296,Married,Male,110000,1,Bachelors,Management,Yes,3,5-10 Miles,North America,45,Middle Age,No
13313,Married,Female,120000,1,High School,Professional,No,4,2-5 Miles,North America,45,Middle Age,No
13314,Married,Male,120000,1,High School,Professional,Yes,4,5-10 Miles,North America,46,Middle Age,Yes
13337,Married,Female,80000,5,Bachelors,Management,Yes,2,5-10 Miles,North America,64,Old,No
13343,Married,Female,90000,5,Bachelors,Management,Yes,2,1-2 Miles,North America,63,Old,Yes
13351,Single,Female,70000,4,Bachelors,Management,Yes,2,1-2 Miles,North America,62,Old,Yes
13353,Single,Female,60000,4,Graduate Degree,Management,Yes,2,Over 10 Miles,North America,61,Old,Yes
13382,Married,Male,70000,5,Partial College,Professional,Yes,2,1-2 Miles,North America,57,Old,Yes
13388,Single,Male,60000,2,Partial College,Professional,Yes,1,Over 10 Miles,North America,56,Old,No
13390,Married,Female,70000,4,Partial College,Professional,No,1,1-2 Miles,North America,56,Old,No
13415,Single,Male,100000,1,Graduate Degree,Management,Yes,3,2-5 Miles,North America,73,Old,Yes
13453,Married,Female,130000,3,Bachelors,Management,Yes,3,0-1 Miles,North America,45,Middle Age,Yes
13466,Married,Male,80000,5,Partial College,Professional,Yes,3,1-2 Miles,North America,46,Middle Age,No
13507,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,Middle Age,No
13572,Single,Male,10000,3,High School,Manual,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
13585,Married,Female,80000,4,Partial College,Professional,No,1,2-5 Miles,Europe,53,Middle Age,Yes
13586,Married,Male,80000,4,Partial College,Professional,Yes,2,Over 10 Miles,Europe,53,Middle Age,No
13620,Single,Male,70000,0,Bachelors,Professional,No,3,Over 10 Miles,Pacific,30,Adolescent,Yes
13662,Single,Male,20000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,31,Middle Age,Yes
13673,Single,Female,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,25,Adolescent,No
13683,Single,Female,30000,0,High School,Manual,No,1,2-5 Miles,Europe,32,Middle Age,No
13687,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,33,Middle Age,Yes
13690,Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,34,Middle Age,Yes
13714,Married,Female,20000,2,High School,Manual,No,2,1-2 Miles,North America,53,Middle Age,Yes
13749,Married,Male,80000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,Middle Age,No
13754,Single,Female,80000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,48,Middle Age,No
13760,Married,Male,60000,4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,Middle Age,No
13813,Married,Female,30000,3,Partial College,Clerical,No,0,0-1 Miles,Europe,42,Middle Age,No
13826,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,Adolescent,No
13873,Married,Male,70000,3,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,35,Middle Age,Yes
13886,Married,Female,70000,4,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35,Middle Age,Yes
13907,Single,Female,80000,3,Bachelors,Skilled Manual,Yes,1,0-1 Miles,North America,41,Middle Age,Yes
13911,Single,Female,80000,3,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,41,Middle Age,Yes
13920,Single,Female,50000,4,Bachelors,Skilled Manual,Yes,2,0-1 Miles,North America,42,Middle Age,No
13934,Married,Male,40000,4,High School,Skilled Manual,Yes,2,2-5 Miles,North America,46,Middle Age,No
13942,Married,Male,60000,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,46,Middle Age,No
13961,Married,Female,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,Middle Age,No
13981,Married,Female,10000,5,High School,Skilled Manual,No,3,1-2 Miles,Pacific,62,Old,No
14032,Married,Male,70000,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Middle Age,Yes
14058,Single,Male,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,Middle Age,Yes
14063,Single,Female,70000,0,Bachelors,Professional,No,1,0-1 Miles,Pacific,42,Middle Age,Yes
14077,Single,Male,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30,Adolescent,No
14090,Married,Female,30000,0,Partial High School,Clerical,No,2,0-1 Miles,North America,28,Adolescent,No
14092,Single,Male,30000,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,28,Adolescent,No
14135,Married,Male,20000,1,Partial College,Manual,Yes,0,1-2 Miles,Europe,35,Middle Age,No
14154,Married,Male,30000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,35,Middle Age,Yes
14164,Single,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Middle Age,Yes
14177,Married,Male,80000,5,Partial College,Professional,No,2,2-5 Miles,Europe,60,Old,No
14189,Married,Female,90000,4,High School,Professional,No,2,2-5 Miles,Europe,54,Middle Age,Yes
14191,Married,Male,160000,4,Partial College,Professional,No,2,Over 10 Miles,Europe,55,Middle Age,Yes
14192,Married,Male,90000,4,High School,Management,Yes,3,5-10 Miles,Europe,56,Old,Yes
14193,Single,Female,100000,3,Partial College,Management,Yes,4,Over 10 Miles,Europe,56,Old,No
14233,Single,Male,100000,0,High School,Management,Yes,3,Over 10 Miles,Pacific,35,Middle Age,No
14238,Married,Male,120000,0,Partial High School,Professional,Yes,4,Over 10 Miles,Pacific,36,Middle Age,Yes
14271,Married,Male,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,32,Middle Age,No
14278,Married,Female,130000,0,Graduate Degree,Management,Yes,1,Over 10 Miles,Pacific,48,Middle Age,No
14284,Single,Male,60000,0,Partial College,Professional,No,2,1-2 Miles,North America,32,Middle Age,Yes
14312,Married,Female,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,Middle Age,No
14332,Single,Female,30000,0,High School,Skilled Manual,No,2,5-10 Miles,North America,26,Adolescent,No
14347,Single,Female,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Old,Yes
14389,Married,Male,60000,2,Bachelors,Management,Yes,0,2-5 Miles,North America,59,Old,No
14417,Single,Male,60000,3,High School,Professional,Yes,2,Over 10 Miles,North America,54,Middle Age,Yes
14432,Single,Male,90000,4,Graduate Degree,Management,Yes,1,5-10 Miles,North America,73,Old,No
14443,Married,Male,130000,1,Graduate Degree,Management,Yes,4,0-1 Miles,North America,40,Middle Age,No
14469,Married,Female,100000,3,Partial College,Professional,Yes,4,1-2 Miles,North America,45,Middle Age,No
14493,Single,Female,70000,3,Graduate Degree,Management,No,2,1-2 Miles,North America,53,Middle Age,No
14495,Married,Male,40000,3,Partial College,Professional,No,2,5-10 Miles,North America,54,Middle Age,Yes
14507,Married,Male,100000,2,Graduate Degree,Management,Yes,3,1-2 Miles,North America,65,Old,No
14514,Single,Female,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,26,Adolescent,No
14517,Married,Female,20000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,Old,No
14544,Single,Male,10000,1,Partial College,Manual,Yes,0,0-1 Miles,Europe,49,Middle Age,No
14545,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,Middle Age,No
14547,Married,Male,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,51,Middle Age,No
14554,Married,Male,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,Old,No
14569,Married,Male,60000,1,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,35,Middle Age,No
14572,Married,Female,70000,3,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35,Middle Age,Yes
14592,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,40,Middle Age,No
14602,Married,Female,80000,3,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,36,Middle Age,Yes
14608,Married,Male,50000,4,Bachelors,Skilled Manual,Yes,3,Over 10 Miles,North America,42,Middle Age,No
14633,Married,Male,60000,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,44,Middle Age,No
14657,Married,Male,80000,1,Partial College,Skilled Manual,No,1,0-1 Miles,North America,47,Middle Age,Yes
14662,Married,Male,60000,1,Bachelors,Professional,Yes,1,0-1 Miles,North America,48,Middle Age,Yes
14669,Married,Female,80000,4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,Middle Age,No
14682,Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,Middle Age,No
14696,Single,Male,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,34,Middle Age,No
14754,Married,Male,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,48,Middle Age,Yes
14777,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Age,Yes
14785,Single,Male,30000,1,Bachelors,Clerical,No,1,1-2 Miles,Europe,39,Middle Age,No
14791,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Middle Age,Yes
14798,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,Middle Age,Yes
14804,Single,Female,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,Middle Age,No
14805,Single,Female,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,Middle Age,No
14813,Single,Female,20000,4,High School,Manual,Yes,1,0-1 Miles,Europe,43,Middle Age,Yes
14832,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Middle Age,Yes
14865,Single,Male,40000,2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,36,Middle Age,No
14872,Married,Male,30000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,32,Middle Age,No
14883,Married,Female,30000,1,Bachelors,Skilled Manual,Yes,1,5-10 Miles,North America,53,Middle Age,Yes
14887,Married,Female,30000,1,High School,Clerical,Yes,1,5-10 Miles,North America,52,Middle Age,No
14900,Married,Female,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,49,Middle Age,Yes
14913,Married,Female,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,48,Middle Age,Yes
14914,Married,Female,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,49,Middle Age,Yes
14926,Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Age,Yes
14927,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Middle Age,Yes
14939,Single,Male,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Middle Age,Yes
15019,Single,Female,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,Middle Age,No
15030,Married,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,26,Adolescent,Yes
15194,Single,Male,120000,2,Bachelors,Management,No,3,0-1 Miles,North America,39,Middle Age,Yes
15214,Single,Female,100000,0,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39,Middle Age,Yes
15255,Married,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,28,Adolescent,Yes
15265,Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Old,Yes
15272,Single,Male,40000,0,High School,Skilled Manual,No,2,1-2 Miles,North America,30,Adolescent,No
15275,Married,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,29,Adolescent,No
15287,Single,Female,50000,1,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,33,Middle Age,Yes
15292,Single,Female,60000,1,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,35,Middle Age,No
15302,Single,Female,70000,1,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,34,Middle Age,Yes
15313,Married,Male,60000,4,Bachelors,Management,Yes,2,2-5 Miles,North America,59,Old,No
15319,Married,Female,70000,4,Bachelors,Management,No,1,1-2 Miles,North America,59,Old,No
15372,Married,Male,80000,3,Partial College,Professional,No,2,2-5 Miles,North America,50,Middle Age,Yes
15382,Married,Female,110000,1,Bachelors,Management,Yes,2,1-2 Miles,North America,44,Middle Age,No
15412,Married,Male,130000,2,Graduate Degree,Management,Yes,3,2-5 Miles,North America,69,Old,No
15450,Married,Male,10000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,Old,No
15465,Married,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,25,Adolescent,No
15468,Married,Female,50000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,North America,35,Middle Age,No
15501,Married,Male,70000,4,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36,Middle Age,Yes
15529,Married,Male,60000,4,Bachelors,Professional,Yes,2,2-5 Miles,North America,43,Middle Age,Yes
15532,Single,Male,60000,4,Bachelors,Professional,Yes,2,2-5 Miles,North America,43,Middle Age,Yes
15555,Married,Female,60000,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,45,Middle Age,Yes
15559,Married,Male,60000,5,Bachelors,Professional,Yes,1,2-5 Miles,North America,47,Middle Age,No
